ref,domain,ar,tgt,tgt_lang,license
quran:3:72,quran,وقالت طايفة من اهل ٱلكتب ءامنوا بٱلذي انزل على ٱلذين ءامنوا وجه ٱلنهار وٱكفروا ءاخره لعلهم يرجعون,"Ainsi dit une partie des gens du Livre: «Au début du jour, croyez à ce qui a été révélé aux Musulmans, mais, à la fin du jour, rejetez-le, afin qu'ils retournent (à leur ancienne religion)",fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:77:14,quran,وما ادرىك ما يوم ٱلفصل,Et qui te dira ce qu'est le Jour de la Décision,fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:24:2,quran,ٱلزانية وٱلزاني فٱجلدوا كل وحد منهما ماية جلدة ولا تاخذكم بهما رافة في دين ٱلله ان كنتم تومنون بٱلله وٱليوم ٱلاخر وليشهد عذابهما طايفة من ٱلمومنين,"La fornicatrice et le fornicateur, fouettez-les chacun de cent coups de fouet. Et ne soyez point pris de pitié pour eux dans l'exécution de la loi d'Allah - si vous croyez en Allah et au Jour dernier. Et qu'un groupe de croyants assiste à leur punition",fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:7:109,quran,قال ٱلملا من قوم فرعون ان هذا لسحر عليم‏,"Les notables du peuple de Pharaon dirent: «Voilà, certes, un magicien chevronné",fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:2:261,quran,مثل ٱلذين ينفقون امولهم في سبيل ٱلله كمثل حبة انبتت سبع سنابل في كل سنبلة ماية حبة وٱلله يضعف لمن يشاء وٱلله وسع عليم,"Ceux qui dépensent leurs biens dans le sentier d'Allah ressemblent à un grain d'où naissent sept épis, à cent grains l'épi. Car Allah multiplie la récompense à qui Il veut et la grâce d'Allah est immense, et Il est Omniscient",fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:12:55,quran,قال ٱجعلني على خزاين ٱلارض اني حفيظ عليم‏,Et [Joseph] dit: «Assigne-moi les dépôts du territoire: je suis bon gardien et connaisseur»,fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:73:16,quran,فعصى فرعون ٱلرسول فاخذنه اخذ ا وبيل ا,Pharaon désobéit alors au Messager. Nous le saisîmes donc rudement,fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:7:139,quran,ان هولاء متبر ما هم فيه وبطل ما كانوا يعملون,"Le culte, auquel ceux-là s'adonnent, est caduc; et tout ce qu'ils font est nul et sans valeur.»",fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:23:45,quran,ثم ارسلنا موسى واخاه هرون بايتنا وسلطن مبين,"Ensuite, Nous envoyâmes Moïse et son frère Aaron avec Nos prodiges et une preuve évidente",fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:5:41,quran,يايها ٱلرسول لا يحزنك ٱلذين يسرعون في ٱلكفر من ٱلذين قالوا ءامنا بافوههم ولم تومن قلوبهم ومن ٱلذين هادوا سمعون للكذب سمعون لقوم ءاخرين لم ياتوك يحرفون ٱلكلم من بعد مواضعه يقولون ان اوتيتم هذا فخذوه وان لم توتوه فٱحذروا ومن يرد ٱلله فتنته فلن تملك له من ٱلله شيا اوليك ٱلذين لم يرد ٱلله ان يطهر قلوبهم لهم في ٱلدنيا خزي ولهم في ٱلاخرة عذاب عظيم‏,"O Messager! Que ne t'affligent point ceux qui concourent en mécréance; parmi ceux qui ont dit: «Nous avons cru» avec leurs bouches sans que leurs cœurs aient jamais cru et parmi les Juifs qui aiment bien écouter le mensonge et écouter d'autres gens qui ne sont jamais venus à toi et qui déforment le sens des mots une fois bien établi. Ils disent: «Si vous avez reçu ceci, acceptez-le et si vous ne l'avez pas reçu, soyez méfiants». Celui qu'Allah veut éprouver, tu n'as pour lui aucune protection contre Allah. Voilà ceux dont Allah n'a point voulu purifier les cœurs. A eux, seront réservés, une ignominie ici-bas et un énorme châtiment dans l'au-delà",fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:13:26,quran,ٱلله يبسط ٱلرزق لمن يشاء ويقدر وفرحوا بٱلحيوة ٱلدنيا وما ٱلحيوة ٱلدنيا في ٱلاخرة الا متع‏,"Allah étend largement Ses dons ou [les] restreint à qui Il veut. Ils se réjouissent de la vie sur terre, mais la vie d'ici-bas ne paraîtra que comme une jouissance éphémère en comparaison de l'au-delà",fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:79:42,quran,يسلونك عن ٱلساعة ايان مرسىها,Ils t'interrogent au sujet de l'Heure: «Quand va-t-elle jeter l'ancre?»,fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:17:35,quran,واوفوا ٱلكيل اذا كلتم وزنوا بٱلقسطاس ٱلمستقيم ذلك خير واحسن تاويل ا,"Et donnez la pleine mesure quand vous mesurez, et pesez avec une balance exacte. C'est mieux [pour vous] et le résultat en sera meilleur",fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:27:41,quran,قال نكروا لها عرشها ننظر اتهتدي ام تكون من ٱلذين لا يهتدون,"Et il dit [encore]: «Rendez-lui son trône méconnaissable, nous verrons alors si elle sera guidée ou si elle est du nombre de ceux qui ne sont pas guidés»",fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:96:3,quran,ٱقرا وربك ٱلاكرم,Lis! Ton Seigneur est le Très Noble,fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:10:70,quran,متع في ٱلدنيا ثم الينا مرجعهم ثم نذيقهم ٱلعذاب ٱلشديد بما كانوا يكفرون,"C'est une jouissance (temporaire) dans la vie d'ici-bas; puis ils retourneront vers Nous et Nous leur ferons goûter au dur châtiment, à titre de sanction pour leur mécréance",fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:59:7,quran,ما افاء ٱلله على رسوله من اهل ٱلقرى فلله وللرسول ولذي ٱلقربى وٱليتمى وٱلمسكين وٱبن ٱلسبيل كي لا يكون دولة بين ٱلاغنياء منكم وما ءاتىكم ٱلرسول فخذوه وما نهىكم عنه فٱنتهوا وٱتقوا ٱلله ان ٱلله شديد ٱلعقاب,"Le butin provenant [des biens] des habitants des cités, qu'Allah a accordé sans combat à Son Messager, appartient à Allah, au Messager, aux proches parents, aux orphelins, aux pauvres et au voyageur en détresse, afin que cela ne circule pas parmi les seuls riches d'entre vous. Prenez ce que le Messager vous donne; et ce qu'il vous interdit, abstenez-vous en; et craignez Allah car Allah est dur en punition",fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:40:85,quran,فلم يك ينفعهم ايمنهم لما راوا باسنا سنت ٱلله ٱلتي قد خلت في عباده وخسر هنالك ٱلكفرون,"Mais leur croyance, au moment où ils eurent constaté Notre rigueur, ne leur profita point; Telle est la règle d'Allah envers Ses serviteurs dans le passé. Et c'est là que les mécréants se trouvèrent perdants",fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:5:7,quran,وٱذكروا نعمة ٱلله عليكم وميثقه ٱلذي واثقكم به اذ قلتم سمعنا واطعنا وٱتقوا ٱلله ان ٱلله عليم بذات ٱلصدور,"Et rappelez-vous le bienfait d'Allah sur vous, ainsi que l'alliance qu'Il a conclue avec vous, quand vous avez dit: «Nous avons entendu et nous avons obéi». Et craignez Allah. Car Allah connaît parfaitement le contenu des cœurs",fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:54:14,quran,تجري باعيننا جزاء لمن كان كفر,voguant sous Nos yeux: récompense pour celui qu'on avait renié [Noé],fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:28:55,quran,واذا سمعوا ٱللغو اعرضوا عنه وقالوا لنا اعملنا ولكم اعملكم سلم عليكم لا نبتغي ٱلجهلين,"et quand ils entendent des futilités, ils s'en détournent et disent: «A nous nos actions, et à vous les vôtres. Paix sur vous. Nous ne recherchons pas les ignorants»",fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:44:19,quran,وان لا تعلوا على ٱلله اني ءاتيكم بسلطن مبين‏,"Ne vous montrez pas hautains vis-à-vis d'Allah, car je vous apporte une preuve évidente",fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:4:107,quran,ولا تجدل عن ٱلذين يختانون انفسهم ان ٱلله لا يحب من كان خوانا اثيم ا,"Et ne dispute pas en faveur de ceux qui se trahissent eux-mêmes. Allah, vraiment, n'aime pas le traître et le pécheur",fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:27:16,quran,وورث سليمن داود وقال يايها ٱلناس علمنا منطق ٱلطير واوتينا من كل شيء ان هذا لهو ٱلفضل ٱلمبين,Et Salomon hérita de David et dit: «O hommes! On nous a appris le langage des oiseaux; et on nous a donné part de toutes choses. C'est là vraiment la grâce évidente,fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:6:11,quran,قل سيروا في ٱلارض ثم ٱنظروا كيف كان عقبة ٱلمكذبين,Dis: «Parcourez la terre et regardez ce qu'il est advenu de ceux qui traitaient la vérité de mensonge»,fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:23:99,quran,حتى اذا جاء احدهم ٱلموت قال رب ٱرجعون,"Puis, lorsque la mort vient à l'un deux, il dit: «Mon Seigneur! Fais-moi revenir (sur terre)",fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:19:62,quran,لا يسمعون فيها لغوا الا سلم ا ولهم رزقهم فيها بكرة وعشي ا,"On n'y entend nulle parole insignifiante; seulement: «Salâm»; et ils auront là leur nourriture, matin et soir",fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:40:28,quran,وقال رجل مومن من ءال فرعون يكتم ايمنه اتقتلون رجلا ان يقول ربي ٱلله وقد جاءكم بٱلبينت من ربكم وان يك كذب ا فعليه كذبه وان يك صادق ا يصبكم بعض ٱلذي يعدكم ان ٱلله لا يهدي من هو مسرف كذاب‏,"Et un homme croyant de la famille de Pharaon, qui dissimulait sa foi dit: «Tuez-vous un homme parce qu'il dit: «Mon Seigneur est Allah?» Alors qu'il est venu à vous avec les preuves évidentes de la part de votre Seigneur. S'il est menteur, son mensonge sera à son détriment; tandis que s'il est véridique, alors une partie de ce dont il vous menace tombera sur vous». Certes, Allah ne guide pas celui qui est outrancier et imposteur",fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:6:101,quran,بديع ٱلسموت وٱلارض انى يكون له ولد ولم تكن له صحبة وخلق كل شيء وهو بكل شيء عليم‏,"Créateur des cieux et de la terre. Comment aurait-Il un enfant, quand Il n'a pas de compagne? C'est Lui qui a tout créé, et Il est Omniscient",fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
quran:37:86,quran,ايفكا ءالهة دون ٱلله تريدون,"Cherchez-vous dans votre égarement, des divinités en dehors d'Allah",fr,"Unlicense (aggregator); translator=Muhammad Hamidullah; Tanzil.net Terms of Use (https://tanzil.net/trans/, verified live): 'The translations provided at this page are for non-commercial purposes only. If used otherwise, you need to obtain necessary permission from the translator or the publisher.' COMPLIANT: project's confirmed license basis (PLAN.md 'Project license basis', 2026-09-22) is non-commercial research/educational use, no revenue, no commercial deployment -- satisfies this restriction. Re-check if project scope ever becomes commercial."
