ref,domain,ar,tgt,tgt_lang,license
quran:26:180,quran,وما اسلكم عليه من اجر ان اجري الا على رب ٱلعلمين,اور میں تم سے اس کام پر کسی قسم کی کوئی اجرت نہیں مانگتا۔ میرا اجر تو صرف اس ذات نے اپنے ذمے لے رکھا ہے جو سارے دنیا جہان کی پرورش کرتی ہے۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:37:56,quran,قال تٱلله ان كدت لتردين,وہ جنتی (اس سے) کہے گا کہ : اللہ کی قسم ! تم تو مجھے بالکل ہی برباد کرنے لگے تھے۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:88:21,quran,فذكر انما انت مذكر‏,اب (اے پیغمبر) تم نصیحت کیے جاؤ۔ تم تو بس نصیحت کرنے والے ہو۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:51:54,quran,فتول عنهم فما انت بملوم‏,لہذا (اے پیغمبر) تم ان سے بےرخی اختیار کرو، کیونکہ تم قابل ملامت نہیں ہو۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:7:112,quran,ياتوك بكل سحر عليم‏,تاکہ وہ تمام ماہر جادوگروں کو جمع کر کے تمہارے پاس لے آئیں۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:3:151,quran,سنلقي في قلوب ٱلذين كفروا ٱلرعب بما اشركوا بٱلله ما لم ينزل به سلطن ا وماوىهم ٱلنار وبيس مثوى ٱلظلمين,جن لوگوں نے کفر اپنایا ہے ہم عنقریب ان کے دلوں میں رعب ڈال دیں گے کیونکہ انہوں نے اللہ کی خدائی میں ایسی چیزوں کو شریک ٹھہرایا ہے جن کے بارے میں اللہ نے کوئی دلیل نہیں اتاری۔ ان کا ٹھکانا جہنم ہے اور وہ ظالموں کا بدترین ٹھکانا ہے۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:18:13,quran,نحن نقص عليك نباهم بٱلحق انهم فتية ءامنوا بربهم وزدنهم هد ى,ہم تمہارے سامنے ان کا واقعہ ٹھیک ٹھیک بیان کرتے ہیں۔ یہ کچھ نوجوان تھے جو اپنے پروردگار پر ایمان لائے تھے، اور ہم نے ان کو ہدایت میں خوب ترقی دی تھی۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:18:75,quran,قال الم اقل لك انك لن تستطيع معي صبر ا,انہوں نے کہا : کیا میں نے آپ سے نہیں کہا تھا کہ آپ میرے ساتھ رہنے پر صبر نہیں کرسکیں گے ؟,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:15:10,quran,ولقد ارسلنا من قبلك في شيع ٱلاولين,اور (اے پیغمبر) ہم تم سے پہلے بھی پچھلی قوموں کے مختلف گروہوں میں اپنے پیغمبر بھیج چکے ہیں۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:2:205,quran,واذا تولى سعى في ٱلارض ليفسد فيها ويهلك ٱلحرث وٱلنسل وٱلله لا يحب ٱلفساد,اور جب اٹھ کرجاتا ہے تو زمین میں اس کی دوڑ دھوپ اس لئے ہوتی ہے کہ وہ اس میں فساد مچائے، اور فصلیں اور نسلیں تبارہ کرے، حالانکہ اللہ فساد کو پسند نہیں کرتا,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:32:24,quran,وجعلنا منهم ايمة يهدون بامرنا لما صبروا وكانوا بايتنا يوقنون,اور ہم نے ان میں سے کچھ لوگوں کو، جب انہوں نے صبر کیا، ایسے پیشوا بنادیا جو ہمارے حکم سے لوگوں کی رہنمائی کرتے تھے، اور وہ ہماری آیتوں پر یقین رکھتے تھے۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:4:57,quran,وٱلذين ءامنوا وعملوا ٱلصلحت سندخلهم جنت تجري من تحتها ٱلانهر خلدين فيها ابد ا لهم فيها ازوج مطهرة وندخلهم ظل ا ظليلا,اور جو لوگ ایمان لائے ہیں اور انہوں نے نیک عمل کیے ہیں ان کو ہم ایسے باغات میں داخل کریں گے جن کے نیچے نہریں بہتی ہوں گی، جن میں وہ ہمیشہ ہمیشہ رہیں گے۔ وہاں ان کے لیے پاکیزہ بیویاں ہوں گی، اور ہم انہیں گھنی چھاؤں میں داخل کریں گے۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:16:101,quran,واذا بدلنا ءاية مكان ءاية وٱلله اعلم بما ينزل قالوا انما انت مفتر بل اكثرهم لا يعلمون,اور جب ہم ایک آیت کو دوسری آیت سے بدلتے ہیں۔ اور اللہ ہی بہتر جانتا ہے کہ وہ کیا نازل کرے تو یہ (کافر) کہتے ہیں کہ : تم تو اللہ پر جھوٹ باندھنے والے ہو۔ حالانکہ ان میں سے اکثر لوگ حقیقت کا علم نہیں رکھتے۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:43:43,quran,فٱستمسك بٱلذي اوحي اليك انك على صرط مستقيم‏,لہذا تم پر جو وحی نازل کی گئی ہے، اسے مضبوطی سے تھامے رکھو۔ یقینا تم سیدھے راستے پر ہو۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:18:55,quran,وما منع ٱلناس ان يومنوا اذ جاءهم ٱلهدى ويستغفروا ربهم الا ان تاتيهم سنة ٱلاولين او ياتيهم ٱلعذاب قبل ا,اور جب لوگوں کے پاس ہدایت آچکی تو اب انہیں ایمان لانے اور اپنے رب سے معافی مانگنے سے اس (مطالبے) کے سوا کوئی اور چیز نہیں روک رہی کہ ان کے ساتھ بھی پچھلے لوگوں جیسے واقعات پیش آجائیں، یا عذاب ان کے بالکل سامنے آکھڑا ہو۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:25:73,quran,وٱلذين اذا ذكروا بايت ربهم لم يخروا عليها صم ا وعميان ا,اور جب انہیں اپنے رب کی آیات کے ذریعے نصیحت کی جاتی ہے تو وہ ان پر بہرے اور اندھے بن کر نہیں گرتے۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:21:65,quran,ثم نكسوا على رءوسهم لقد علمت ما هولاء ينطقون,پھر انہوں نے اپنے سر جھکا لیے، اور کہا : تمہیں تو معلوم ہی ہے کہ یہ بولتے نہیں ہیں۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:84:25,quran,الا ٱلذين ءامنوا وعملوا ٱلصلحت لهم اجر غير ممنون,البتہ جو لوگ ایمان لے آئے ہیں اور انہوں نے نیک عمل کیے ہیں، ان کو ایسا ثواب ملے گا جو کبھی ختم نہیں ہوگا۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:93:6,quran,الم يجدك يتيم ا فاوى,کیا اس نے تمہیں یتیم نہیں پایا تھا، پھر (تمہیں) ٹھکانا دیا ؟,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:58:2,quran,ٱلذين يظهرون منكم من نسايهم ما هن امهتهم ان امهتهم الا ٱلي ولدنهم وانهم ليقولون منكر ا من ٱلقول وزور ا وان ٱلله لعفو غفور‏,تم میں سے جو لوگ اپنی بیویوں سے ظہار کرتے ہیں (ان کے اس عمل سے) وہ بیویاں ان کی مائیں نہیں ہوجاتیں۔ ان کی مائیں تو وہی ہیں جنہوں نے ان کو جنم دیا ہے۔ حقیقت یہ ہے کہ یہ لوگ ایسی بات کہتے ہیں جو بہت بری ہے، اور جھوٹ ہے۔ اور اللہ بہت معاف کرنے والا، بہت بخشنے والا ہے۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:2:42,quran,ولا تلبسوا ٱلحق بٱلبطل وتكتموا ٱلحق وانتم تعلمون,اور حق کو باطل کے ساتھ گڈ مڈ نہ کرو، اور نہ حق بات کو چھپاؤ جبکہ (اصل حقیقت) تم اچھی طرح جانتے ہو,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:51:58,quran,ان ٱلله هو ٱلرزاق ذو ٱلقوة ٱلمتين,اللہ تو خود ہی رزاق ہے، مستحکم قوت والا۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:12:36,quran,ودخل معه ٱلسجن فتيان قال احدهما اني ارىني اعصر خمر ا وقال ٱلاخر اني ارىني احمل فوق راسي خبز ا تاكل ٱلطير منه نبينا بتاويله انا نرىك من ٱلمحسنين,اور یوسف کے ساتھ دو اور نوجوان قید خانے میں داخل ہوئے۔ ان میں سے ایک نے (ایک دن یوسف سے) کہا کہ : میں (خواب میں) اپنے آپ کو دیکھتا ہوں کہ میں شراب نچوڑ رہا ہوں۔ اور دوسرے نے کہا کہ : میں (خواب میں) یوں دیکھتا ہوں کہ میں نے اپنے سر پر روٹی اٹھائی ہوئی ہے (اور) پرندے اس میں سے کھا رہے ہیں۔ ذرا ہمیں اس کی تعبیر بتاؤ، ہمیں تم نیک آدمی نظر آتے ہو۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:4:84,quran,فقتل في سبيل ٱلله لا تكلف الا نفسك وحرض ٱلمومنين عسى ٱلله ان يكف باس ٱلذين كفروا وٱلله اشد باس ا واشد تنكيل ا,لہذا (اے پیغمبر) تم اللہ کے راستے میں جنگ کرو، تم پر اپنے سوا کسی اور کی ذمہ داری نہیں ہے۔ ہاں مومنوں کو ترغیب دیتے رہو، کچھ بعید نہیں کہ اللہ کافروں کی جنگ کا زور توڑ دے۔ اور اللہ کا زور سب سے زیادہ زبردست ہے اور اس کی سزا بڑی سخت۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:11:117,quran,وما كان ربك ليهلك ٱلقرى بظلم واهلها مصلحون,اور تمہارا پروردگار ایسا نہیں ہے کہ بستیوں پر ظلم کر کے انہیں تباہ کر دے جبکہ ان کے باشندے صحیح روشن پر چل رہے ہوں۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:88:25,quran,ان الينا ايابهم,یقین جانو ان سب کو ہمارے پاس ہی لوٹ کر آنا ہے۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:5:92,quran,واطيعوا ٱلله واطيعوا ٱلرسول وٱحذروا فان توليتم فٱعلموا انما على رسولنا ٱلبلغ ٱلمبين,اور اللہ کی اطاعت کرو، اور رسول کی اطاعت کرو، اور (نافرمانی سے) بچتے رہو۔ اور اگر تم (اس حکم سے) منہ موڑو گے تو جان رکھو کہ ہمارے رسول پر صرف یہ ذمہ داری ہے کہ وہ صاف صاف طریقے سے (اللہ کے حکم کی) تبلیغ کردیں۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:74:18,quran,انه فكر وقدر,اس کا حال تو یہ ہے کہ اس نے سوچ کر ایک بات بنائی۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:5:45,quran,وكتبنا عليهم فيها ان ٱلنفس بٱلنفس وٱلعين بٱلعين وٱلانف بٱلانف وٱلاذن بٱلاذن وٱلسن بٱلسن وٱلجروح قصاص فمن تصدق به فهو كفارة له ومن لم يحكم بما انزل ٱلله فاوليك هم ٱلظلمون,اور ہم نے اس (تورات میں) ان کے لیے یہ حکم لکھ دیا تھا کہ جان کے بدلے جان، آنکھ کے بدلے آنکھ، ناک کے بدلے ناک، کان کے بدلے کان، دانت کے بدلے دانت۔ اور زخموں کا بھی (اسی طرح) بدلہ لیا جائے۔ ہاں جو شخص اس (بدلے) کو معاف کردے تو یہ اس کے لیے گناہوں کا کفارہ ہوجائے گا۔ اور جو لوگ اللہ کے نازل کیے ہوئے حکم کے مطابق فیصلہ نہ کریں، وہ لوگ ظالم ہیں۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:3:35,quran,اذ قالت ٱمرات عمرن رب اني نذرت لك ما في بطني محرر ا فتقبل مني انك انت ٱلسميع ٱلعليم,(چنانچہ اللہ کے دعا سننے کا وہ واقعہ یاد کرو) جب عمران کی بیوی نے کہا تھا کہ : یا رب ! میں نے نذر مانی ہے کہ میرے پیٹ میں جو بچہ ہے میں اسے ہر کام سے آزاد کر کے تیرے لیے وقف رکھوں گی۔ میری اس نذر کو قبول فرما۔ بیشک تو سننے والا ہے، ہر چیز کا علم رکھتا ہے۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:3:1,quran,الم,الم۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:68:51,quran,وان يكاد ٱلذين كفروا ليزلقونك بابصرهم لما سمعوا ٱلذكر ويقولون انه لمجنون‏,جن لوگوں نے کفر اپنا لیا ہے جب وہ نصیحت کی یہ بات سنتے ہیں تو ایسا لگتا ہے کہ یہ اپنی (تیز تیز) آنکھوں سے تمہیں ڈگمگا دیں گے، اور وہ کہتے ہیں کہ یہ شخص تو دیوانہ ہے۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:43:42,quran,او نرينك ٱلذي وعدنهم فانا عليهم مقتدرون,یا اگر تمہیں بھی وہ (عذاب) دکھا دیں جس کا ہم نے ان سے وعدہ کیا ہے، تب بھی ہمیں ان پر ہر طرح کی قدرت حاصل ہے۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:26:218,quran,ٱلذي يرىك حين تقوم,جو تمہیں اس وقت بھی دیکھتا ہے جب تم (عبادت کے لیے) کھڑے ہوتے ہو۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:3:54,quran,ومكروا ومكر ٱلله وٱلله خير ٱلمكرين,اور ان کافروں نے (عیسیٰ (علیہ السلام) کے خلاف) خفیہ تدبیر کی، اور اللہ نے بھی خفیہ تدبیر کی۔ اور اللہ سب سے بہتر تدبیر کرنے والا ہے۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:10:62,quran,الا ان اولياء ٱلله لا خوف عليهم ولا هم يحزنون,یا درکھو کہ جو اللہ کے دوست ہیں ان کو نہ کوئی خوف ہوگا نہ وہ غمگین ہوں۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:42:39,quran,وٱلذين اذا اصابهم ٱلبغي هم ينتصرون,اور جب ان پر کوئی زیادتی ہوتی ہے تو وہ اپنا دفاع کرتے ہیں۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:16:32,quran,ٱلذين تتوفىهم ٱلمليكة طيبين يقولون سلم عليكم ٱدخلوا ٱلجنة بما كنتم تعملون,یہ وہ لوگ ہیں جن کی روحیں فرشتے ایسی حالت میں قبض کرتے ہیں کہ وہ پاک صاف ہوتے ہیں وہ ان سے کہتے ہیں کہ : سلامتی ہو تم پر ! جو عمل تم کرتے رہے ہو، اس کے صلے میں جنت میں داخل ہوجاؤ۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:23:98,quran,واعوذ بك رب ان يحضرون,اور میرے پروردگار ! میں ان کے اپنے قریب آنے سے بھی آپ کی پناہ مانگتا ہوں۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
quran:24:4,quran,وٱلذين يرمون ٱلمحصنت ثم لم ياتوا باربعة شهداء فٱجلدوهم ثمنين جلدة ولا تقبلوا لهم شهدة ابد ا واوليك هم ٱلفسقون,اور جو لوگ پاک دامن عورتوں پر تہمت لگائیں، پھر چار گواہ لے کر نہ آئیں، تو ان کو اسی کوڑے لگاؤ اور ان کی گواہی کبھی قبول نہ کرو، اور وہ خود فاسق ہیں۔,ur,Unlicense (aggregator); translator=Muhammad Taqi Usmani; source approved as government/waqf body
