ref,domain,ar,tgt,tgt_lang,license
quran:16:50,quran,يخافون ربهم من فوقهم ويفعلون ما يومرون,"Onlar, üstlerindeki Rablerinden korkarlar ve kendilerine ne emrolunursa onu yaparlar",tr,Unlicense (aggregator); translator=Diyanet Vakfi; source approved as government/waqf body
quran:26:112,quran,قال وما علمي بما كانوا يعملون,Nuh dedi ki: Onların yaptıkları hakkında bilgim yoktur,tr,Unlicense (aggregator); translator=Diyanet Vakfi; source approved as government/waqf body
quran:72:5,quran,وانا ظننا ان لن تقول ٱلانس وٱلجن على ٱلله كذب ا,"Halbuki biz, gerek insanlar gerekse cinler Allah hakkında asla yalan söylemezler, sanmıştık",tr,Unlicense (aggregator); translator=Diyanet Vakfi; source approved as government/waqf body
quran:89:8,quran,ٱلتي لم يخلق مثلها في ٱلبلد,"Rabbinin, hiçbir memlekette benzeri ortaya konmayan sütunlara sahip İrem şehrinde oturan Ad milletine ne ettiğini görmedin mi",tr,Unlicense (aggregator); translator=Diyanet Isleri; source approved as government/waqf body
quran:37:113,quran,وبركنا عليه وعلى اسحق ومن ذريتهما محسن وظالم لنفسه مبين‏,"Kendisini ve İshak'ı mübarek (kutlu ve bereketli) eyledik. Lakin her ikisinin neslinden iyi kimseler olacağı gibi, kendine açıktan açığa kötülük edenler de olacak",tr,Unlicense (aggregator); translator=Diyanet Vakfi; source approved as government/waqf body
quran:31:15,quran,وان جهداك على ان تشرك بي ما ليس لك به علم فلا تطعهما وصاحبهما في ٱلدنيا معروف ا وٱتبع سبيل من اناب الي ثم الي مرجعكم فانبيكم بما كنتم تعملون,"Ey insanoğlu! Ana baba, seni, körü körüne Bana ortak koşman için zorlarlarsa, onlara itaat etme; dünya işlerinde onlarla güzel geçin; Bana yönelen kimsenin yoluna uy; sonunda dönüşünüz Bana'dır. O zaman, yaptıklarınızı size bildiririm",tr,Unlicense (aggregator); translator=Diyanet Isleri; source approved as government/waqf body
quran:14:47,quran,فلا تحسبن ٱلله مخلف وعده رسله ان ٱلله عزيز ذو ٱنتقام‏,"Yerin başka bir yerle, göklerin de başka göklerle değiştirildiği, her şeye üstün gelen tek Allah'ın huzuruna çıktıkları günde, sakın Allah'ın peygamberlerine verdiği sözden cayacağını sanma; doğrusu Allah güçlüdür, öç alandır",tr,Unlicense (aggregator); translator=Diyanet Isleri; source approved as government/waqf body
quran:36:77,quran,اولم ير ٱلانسن انا خلقنه من نطفة فاذا هو خصيم مبين‏,"İnsan görmez mi ki, biz onu meniden yarattık. Bir de bakıyorsun ki, apaçık düşman kesilmiş",tr,Unlicense (aggregator); translator=Diyanet Vakfi; source approved as government/waqf body
quran:45:29,quran,هذا كتبنا ينطق عليكم بٱلحق انا كنا نستنسخ ما كنتم تعملون,Bu kitabımız gerçekten sizin aleyhinize konuşur. Biz yaptıklarınızı şüphesiz bir bir kaydediyorduk,tr,Unlicense (aggregator); translator=Diyanet Isleri; source approved as government/waqf body
quran:3:34,quran,ذرية بعضها من بعض وٱلله سميع عليم,Bunlar birbirinden gelme bir nesillerdir. Allah işiten ve bilendir,tr,Unlicense (aggregator); translator=Diyanet Vakfi; source approved as government/waqf body
quran:14:18,quran,مثل ٱلذين كفروا بربهم اعملهم كرماد ٱشتدت به ٱلريح في يوم عاصف لا يقدرون مما كسبوا على شيء ذلك هو ٱلضلل ٱلبعيد,"Rablerini inkar edenlerin işleri, fırtınalı bir günde, rüzgarın şiddetle savurduğu küle benzer; yaptıklarından hiçbir şey elde edemezler. İşte bu uzak sapıklıktır",tr,Unlicense (aggregator); translator=Diyanet Isleri; source approved as government/waqf body
quran:18:3,quran,مكثين فيه ابد ا,Onlar orada ebedi kalacaklarlardır,tr,Unlicense (aggregator); translator=Diyanet Vakfi; source approved as government/waqf body
quran:68:12,quran,مناع للخير معتد اثيم,"Hayra engel olan, mütecaviz ve saldırgan günahkar",tr,Unlicense (aggregator); translator=Diyanet Vakfi; source approved as government/waqf body
quran:38:34,quran,ولقد فتنا سليمن والقينا على كرسيه جسد ا ثم اناب,"And olsun ki Süleyman'ı denedik, hükümranlığını zayıf düşürdük; sonra eski haline döndü",tr,Unlicense (aggregator); translator=Diyanet Isleri; source approved as government/waqf body
quran:10:100,quran,وما كان لنفس ان تومن الا باذن ٱلله ويجعل ٱلرجس على ٱلذين لا يعقلون,"Allah'ın izni olmadan hiç kimse inanamaz. O, akıllarını kullanmayanları murdar (inkarcı) kılar",tr,Unlicense (aggregator); translator=Diyanet Vakfi; source approved as government/waqf body
quran:47:23,quran,اوليك ٱلذين لعنهم ٱلله فاصمهم واعمى ابصرهم,"İşte bunlar, Allah'ın kendilerini lanetlediği, sağır kıldığı ve gözlerini kör ettiği kimselerdir",tr,Unlicense (aggregator); translator=Diyanet Vakfi; source approved as government/waqf body
quran:79:38,quran,وءاثر ٱلحيوة ٱلدنيا,"İşte, azıp da dünya hayatını tercih edenin varacağı yer şüphesiz cehennemdir",tr,Unlicense (aggregator); translator=Diyanet Isleri; source approved as government/waqf body
quran:2:203,quran,وٱذكروا ٱلله في ايام معدودت فمن تعجل في يومين فلا اثم عليه ومن تاخر فلا اثم عليه لمن ٱتقى وٱتقوا ٱلله وٱعلموا انكم اليه تحشرون,"Allah'ı sayılı günlerde anın. Günahtan sakınan kimseye, acele edip, Mina'daki ibadeti iki günde bitirirse günah yoktur, geri kalsa da günah yoktur. Allah'tan sakının. O'nun katında toplanacağınızı bilin",tr,Unlicense (aggregator); translator=Diyanet Isleri; source approved as government/waqf body
quran:20:35,quran,انك كنت بنا بصير ا,Şüphesiz sen bizi görmektesin,tr,Unlicense (aggregator); translator=Diyanet Vakfi; source approved as government/waqf body
quran:7:24,quran,قال ٱهبطوا بعضكم لبعض عدو ولكم في ٱلارض مستقر ومتع الى حين‏,"Allah: Birbirinize düşman olarak inin! Sizin için yeryüzünde bir süreye kadar yerleşme ve faydalanma vardır, buyurdu",tr,Unlicense (aggregator); translator=Diyanet Vakfi; source approved as government/waqf body
quran:31:17,quran,يبني اقم ٱلصلوة وامر بٱلمعروف وٱنه عن ٱلمنكر وٱصبر على ما اصابك ان ذلك من عزم ٱلامور,"Ey oğulcuğum! Namazı kıl, uygun olanı buyurup fenalığı önle, başına gelene sabret; doğrusu bunlar, azmedilmeğe değer işlerdir",tr,Unlicense (aggregator); translator=Diyanet Isleri; source approved as government/waqf body
quran:9:37,quran,انما ٱلنسيء زيادة في ٱلكفر يضل به ٱلذين كفروا يحلونه عام ا ويحرمونه عام ا ليواطوا عدة ما حرم ٱلله فيحلوا ما حرم ٱلله زين لهم سوء اعملهم وٱلله لا يهدي ٱلقوم ٱلكفرين,"Sapıtmak için hürmetli ayların yerlerini değiştirip geciktirmek, küfürde gerçekten ileri gitmekdir. İnkar edenler Allah'ın haram kıldığı ayların sayısına uydurmak için, onu bir yıl haram, bir yıl helal sayıyor, böylece Allah'ın haram kıldığını helalkılıyorlar. Kötü işleri kendilerine güzel göründü. Allah inkar eden toplumu doğru yola eriştirmez",tr,Unlicense (aggregator); translator=Diyanet Isleri; source approved as government/waqf body
quran:84:16,quran,فلا اقسم بٱلشفق,Akşamın alaca karanlığına and olsun,tr,Unlicense (aggregator); translator=Diyanet Isleri; source approved as government/waqf body
quran:11:11,quran,الا ٱلذين صبروا وعملوا ٱلصلحت اوليك لهم مغفرة واجر كبير‏,"Bunların dışında, sabredip iyi işler işleyen kimseler, işte onlara mağfiret ve büyük ecir vardır",tr,Unlicense (aggregator); translator=Diyanet Isleri; source approved as government/waqf body
quran:94:2,quran,ووضعنا عنك وزرك,Belini büken yükünü üzerinden almadık mı,tr,Unlicense (aggregator); translator=Diyanet Isleri; source approved as government/waqf body
quran:79:32,quran,وٱلجبال ارسىها,Dağları sağlam bir şekilde yerleştirdi,tr,Unlicense (aggregator); translator=Diyanet Vakfi; source approved as government/waqf body
quran:18:70,quran,قال فان ٱتبعتني فلا تسلني عن شيء حتى احدث لك منه ذكر ا,"(O kul:) Eğer bana tabi olursan, sana o konuda bilgi verinceye kadar hiçbir şey hakkında bana soru sorma! dedi",tr,Unlicense (aggregator); translator=Diyanet Vakfi; source approved as government/waqf body
quran:3:128,quran,ليس لك من ٱلامر شيء او يتوب عليهم او يعذبهم فانهم ظلمون,"Allah'ın, onların tevbelerini kabul veya onlara azab etmesi işiyle senin bir ilişiğin yoktur; çünkü onlar zalimlerdir",tr,Unlicense (aggregator); translator=Diyanet Isleri; source approved as government/waqf body
quran:15:63,quran,قالوا بل جينك بما كانوا فيه يمترون,"Dediler ki: ""Bilakis, biz sana, onların şüphe etmekte oldukları şeyi (azabı ve helakı) getirdik",tr,Unlicense (aggregator); translator=Diyanet Vakfi; source approved as government/waqf body
quran:19:62,quran,لا يسمعون فيها لغوا الا سلم ا ولهم رزقهم فيها بكرة وعشي ا,Orada boş sözler değil sadece esenlik veren sözler işitirler. Orada rızıklarını sabah akşam hazır bulurlar,tr,Unlicense (aggregator); translator=Diyanet Isleri; source approved as government/waqf body
quran:112:1,quran,قل هو ٱلله احد,De ki: O Allah bir tektir,tr,Unlicense (aggregator); translator=Diyanet Isleri; source approved as government/waqf body
quran:47:16,quran,ومنهم من يستمع اليك حتى اذا خرجوا من عندك قالوا للذين اوتوا ٱلعلم ماذا قال ءانفا اوليك ٱلذين طبع ٱلله على قلوبهم وٱتبعوا اهواءهم,"Onların arasında, seni dinleyenler vardır. Fakat senin yanından çıkınca kendilerine bilgi verilmiş olanlara ""Az önce ne demişti?"" diye sorarlar. Bunlar, Allah'ın kalplerini mühürlediği, heva ve heveslerine uyan kimselerdir",tr,Unlicense (aggregator); translator=Diyanet Vakfi; source approved as government/waqf body
quran:42:22,quran,ترى ٱلظلمين مشفقين مما كسبوا وهو واقع بهم وٱلذين ءامنوا وعملوا ٱلصلحت في روضات ٱلجنات لهم ما يشاءون عند ربهم ذلك هو ٱلفضل ٱلكبير,"Yaptıkları şeyler başlarına gelirken zalimlerin, korkudan titrediklerini göreceksin. İman edip iyi işler yapanlar da cennet bahçelerindedirler. Rablerinin yanında onlara diledikleri her şey vardır. İşte büyük lütuf budur",tr,Unlicense (aggregator); translator=Diyanet Vakfi; source approved as government/waqf body
quran:20:92,quran,قال يهرون ما منعك اذ رايتهم ضلوا,"Musa gelince: ""Harun! Onların sapıttığını görünce seni benim yolumdan gitmekten alıkoyan nedir? Benim emrime karşı mı geldin?"" dedi",tr,Unlicense (aggregator); translator=Diyanet Isleri; source approved as government/waqf body
quran:10:46,quran,واما نرينك بعض ٱلذي نعدهم او نتوفينك فالينا مرجعهم ثم ٱلله شهيد على ما يفعلون,"Onlara, söz verdiğimiz azabın bir kısmını ya dünyada sana gösteririz, veya senin ruhunu alırız da nasıl olsa onların dönüşü Bizedir; (ahirette görürsün) Allah onların yaptıklarına şahiddir",tr,Unlicense (aggregator); translator=Diyanet Isleri; source approved as government/waqf body
